   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.88576,             0.63709,             0.69024,             0.40963,            0.039869,            0.013608,           0.0023255,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.90418,              0.6326,             0.68624,             0.40684,            0.043029,            0.015133,           0.0026445,             0.01168,                0.01,               0.913,             0.00037,              2.9928,             0.77913,              0.1095,             0.05082,                 0.5,             0.93999,              1.0712,             0.85218,                 0.2,              4.6971,                   0,               0.015,             0.70613,                 0.4,                   0,             0.11273,                 0.5,                   0,                   0,                   0,                 0.5,             0.81316,                   0,                   0,              2.6894
             0.90259,             0.62971,              0.6888,             0.40749,            0.033955,            0.015146,           0.0021071,             0.00959,             0.01002,               0.937,              0.0005,              3.0775,             0.82236,             0.09996,             0.04307,             0.44362,             0.98645,              1.0526,              1.1197,                 0.2,              4.1891,                   0,             0.01422,             0.67692,             0.45287,                   0,             0.10585,              0.5686,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.91947,             0.62607,             0.69559,              0.4139,             0.03383,            0.018583,           0.0017772,             0.01146,             0.01002,               0.937,             0.00039,              2.0892,             0.70083,             0.08648,             0.04307,             0.43103,               0.717,               1.328,              1.0309,                 0.2,              4.3129,                   0,             0.01201,             0.67692,             0.52012,                   0,             0.13306,             0.49466,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1236
             0.92308,             0.61995,             0.68952,             0.40753,            0.034201,            0.014055,           0.0021258,             0.00952,             0.01002,             0.94744,              0.0005,              3.0775,              0.7243,             0.10441,             0.04322,             0.44362,             0.97769,              0.9168,              1.1966,                 0.2,               4.317,                   0,             0.01523,             0.70351,             0.45287,                   0,              0.1122,             0.50514,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.91344,             0.60741,              0.6835,             0.39975,             0.02991,            0.012634,           0.0019774,             0.00959,                0.01,             0.94627,             0.00051,              2.0894,              0.5288,             0.08626,             0.03347,             0.35879,             0.85892,             0.70759,              1.2378,                 0.2,              4.9442,                   0,             0.00882,             0.60809,             0.45287,                   0,             0.11355,             0.58841,                   0,                   0,                   0,                 0.5,             0.87651,                   0,                   0,               4.437
             0.90057,             0.62796,             0.68958,             0.40435,            0.041714,            0.009353,           0.0020713,              0.0093,              0.0124,                0.98,             0.00059,               3.569,             0.92834,             0.09996,             0.05249,             0.44362,             0.98645,             0.72155,              1.1197,                 0.2,              3.2754,                   0,             0.01422,             0.61065,             0.47426,                   0,             0.11129,              0.5686,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0346
             0.89481,             0.62173,              0.6836,             0.40535,            0.027436,            0.017061,           0.0023197,             0.00907,                0.01,             0.96929,             0.00061,                2.81,                0.95,             0.09423,             0.03306,             0.49281,             0.98645,              1.0526,              1.2054,                 0.2,              4.4566,                   0,             0.01593,             0.56856,             0.48459,                   0,             0.13835,             0.52683,                   0,                   0,                   0,                 0.5,             0.69657,                   0,                   0,                   3
             0.89352,             0.62669,             0.68406,             0.39887,            0.036451,            0.013021,           0.0025111,             0.01215,                0.01,             0.97612,              0.0005,              2.4998,                0.95,             0.09628,             0.04307,             0.57637,             0.76308,              1.0526,             0.64473,                 0.2,               4.941,                   0,             0.01789,             0.52315,             0.45287,                   0,             0.07819,             0.51144,                   0,                   0,                   0,                 0.5,              0.7881,                   0,                   0,                   3
             0.88901,             0.64288,             0.68837,             0.40689,            0.029805,            0.015427,           0.0019527,             0.01043,                0.01,             0.94478,              0.0003,               3.855,             0.94424,             0.11439,             0.03779,             0.42459,              1.0111,              1.0865,              1.1117,                 0.2,              4.1891,                   0,             0.01507,             0.67692,             0.45287,                   0,             0.11678,              0.5686,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2884
