               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10865,            0.028781,            0.041515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00333,             0.00333,             0.07003
                   1,            0.085312,            0.023103,            0.022631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064434,           0.0064434,             0.03981
                   2,            0.079599,            0.020455,            0.016228,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093369,           0.0093369,           0.0093702
                   3,            0.070685,            0.019845,            0.012272,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.063996,            0.019585,           0.0090376,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.059708,            0.019136,           0.0071159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.058286,            0.018361,           0.0066403,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,             0.05497,            0.017827,           0.0056651,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.053802,            0.017709,           0.0057422,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.052494,            0.017346,           0.0047983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.050733,             0.01742,           0.0047968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.050144,            0.017108,           0.0043519,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.048807,            0.016828,           0.0038591,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              0.0481,            0.016956,           0.0040626,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.047754,            0.016231,           0.0038709,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.047023,            0.016224,           0.0040362,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,             0.04595,            0.016187,           0.0038241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.045406,            0.015904,           0.0035714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.045038,            0.015774,           0.0037924,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.043996,            0.015695,           0.0033583,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.043752,            0.016136,           0.0030799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
